document,element,frequency_in_document
1990,E0,3.122503944268093e-05
1990,E1,2.1848123099460958e-05
1990,E2,0.00010523590840731509
1990,E3,0.0022642492623054632
1990,E4,0.00011280250342420805
1990,E5,0.0005805565714319596
1990,E6,0.00019004675945292172
1990,E7,2.1828600762470287e-05
1990,E8,0.0001240954245141949
1990,E9,0.0005434262127643801
1990,E10,0.00034809678400769486
1990,E11,8.643514702618603e-05
1990,E12,1.0536993675934718e-05
1990,E13,1.0337828295674146e-05
1990,E14,9.426285330032919e-06
1990,E15,2.3112006704828002e-05
1990,E16,6.308324083410731e-05
1990,E17,6.992319194243413e-05
1990,E18,0.0006228871926154284
1990,E19,0.00015773616544469235
1990,E20,5.676851567674098e-05
1990,E21,8.114027626180339e-05
1990,E22,0.000564004257670775
1990,E23,0.0010798472854151276
1990,E24,0.00014206404628109673
1990,E25,2.76233559826813e-05
1990,E26,1.6509702506406827e-05
1990,E27,0.00012313620199474955
1990,E28,0.00020888337435679327
1990,E29,0.00013868442940436594
1990,E30,0.00033351791571557663
1991,E0,3.052588926200747e-05
1991,E1,2.2621250907767317e-05
1991,E2,0.00010770868569766844
1991,E3,0.0022570426140667925
1991,E4,0.00011332770557362171
1991,E5,0.0005814775941631391
1991,E6,0.00018965923610492517
1991,E7,1.5702337468162887e-05
1991,E8,0.00012552524334530203
1991,E9,0.0005361894723262601
1991,E10,0.0003467703415968317
1991,E11,8.39214461472001e-05
1991,E12,1.143086283807475e-05
1991,E13,1.046453104992146e-05
1991,E14,2.8914597495981228e-05
1991,E15,2.2891461803422564e-05
1991,E16,7.955337527758517e-05
1991,E17,7.086599339922545e-05
1991,E18,0.0006063475242606553
1991,E19,0.0001586512891274972
1991,E20,5.508959265754393e-05
1991,E21,7.916477396216574e-05
1991,E22,0.0005494879855928146
1991,E23,0.0010837922613285394
1991,E24,0.0001346704877050899
1991,E25,2.7866075790830955e-05
1991,E26,1.6218748721923703e-05
1991,E27,0.00011654585639104964
1991,E28,0.0002063103591991858
1991,E29,0.00013899792535731304
1991,E30,0.00032993969356027655
1992,E0,2.9767118940722856e-05
1992,E1,2.3943793430939993e-05
1992,E2,0.0001101841854482661
1992,E3,0.002261894959741538
1992,E4,0.00011459705212806096
1992,E5,0.0005833538424673543
1992,E6,0.0001896650680908302
1992,E7,1.1286398448368426e-05
1992,E8,0.00012770744516961912
1992,E9,0.0005222496598877026
1992,E10,0.0003462059942907598
1992,E11,8.129887605713219e-05
1992,E12,1.2152568562761523e-05
1992,E13,1.0897776669141458e-05
1992,E14,2.1877023884419407e-06
1992,E15,2.273082793377393e-05
1992,E16,9.821383449092592e-05
1992,E17,7.404654261980346e-05
1992,E18,0.0005926240267527422
1992,E19,0.00015574240573545343
1992,E20,5.442887155949068e-05
1992,E21,7.754977610367258e-05
1992,E22,0.000536537375062492
1992,E23,0.001090413791848042
1992,E24,0.00012741847932629127
1992,E25,2.8166622787715578e-05
1992,E26,1.608224943656384e-05
1992,E27,0.00011020618976987886
1992,E28,0.0002046885641354149
1992,E29,0.00014007951138681534
1992,E30,0.00032874456489459964
1993,E0,2.900585337185828e-05
1993,E1,2.578132852002655e-05
1993,E2,0.00011279405131084311
1993,E3,0.002293627925426926
1993,E4,0.00011596231986733786
1993,E5,0.0005852467816030532
1993,E6,0.0001912946949686795
1993,E7,1.1239255335590618e-05
1993,E8,0.00013044240363079736
1993,E9,0.0005014003566067929
1993,E10,0.0003474911947727161
1993,E11,7.98040339399275e-05
1993,E12,1.2828406098772497e-05
1993,E13,1.1970049694442802e-05
1993,E14,3.828473805911338e-06
1993,E15,2.2841668348404422e-05
1993,E16,0.00011904530817994594
1993,E17,7.755091556362813e-05
1993,E18,0.0005781448722171987
1993,E19,0.00015447477051044268
1993,E20,5.2594977975504505e-05
1993,E21,7.539705192496156e-05
1993,E22,0.000523951247989172
1993,E23,0.0011048931688777117
1993,E24,0.00012079319485926977
1993,E25,2.871023908107473e-05
1993,E26,1.6130865627265346e-05
1993,E27,0.00010461503094547906
1993,E28,0.00020378466749454888
1993,E29,0.00014187766019918628
1993,E30,0.000317957535521677
1994,E0,2.8150938608292065e-05
1994,E1,2.716844660640691e-05
1994,E2,0.00011516134144885924
1994,E3,0.0023001841762660988
1994,E4,0.00011749025715929477
1994,E5,0.0005822363439755403
1994,E6,0.0001923542406372318
1994,E7,9.99588492830971e-05
1994,E8,0.00013265655039256473
1994,E9,0.0004838824317530353
1994,E10,0.0003474513038924085
1994,E11,7.828681327027021e-05
1994,E12,1.3546700019522543e-05
1994,E13,1.2767628360227557e-05
1994,E14,2.245569875624284e-06
1994,E15,2.288673092313746e-05
1994,E16,0.00014129396884551447
1994,E17,7.80433092317009e-05
1994,E18,0.0005628112904796057
1994,E19,0.00015109452080249325
1994,E20,5.176412030349198e-05
