element_name,element
abroad,E0
accession,E1
according,E2
add,E3
adequate,E4
administration,E5
admitted,E6
adopted,E7
advancement,E8
affair,E9
afford,E10
affording,E11
aggressor,E12
agree,E13
agriculture,E14
aid,E15
allowed,E16
already,E17
among,E18
answered,E19
appointment,E20
arduous,E21
armed,E22
arrangement,E23
ascertained,E24
attended,E25
attention,E26
auspicious,E27
authority,E28
avoiding,E29
basis,E30
best,E31
better,E32
blessed,E33
blessing,E34
branch,E35
burthen,E36
call,E37
care,E38
carolina,E39
certain,E40
character,E41
chearful,E42
cherishing,E43
circumstance,E44
citizen,E45
close,E46
comfortable,E47
commerce,E48
common,E49
commonwealth,E50
communication,E51
community,E52
compensation,E53
competent,E54
comprehending,E55
concerned,E56
conciliate,E57
concord,E58
concur,E59
conducive,E60
conduct,E61
confidence,E62
congratulating,E63
consideration,E64
consistent,E65
constituent,E66
constitution,E67
consultation,E68
contained,E69
contributes,E70
convenience,E71
convey,E72
convincing,E73
cool,E74
country,E75
course,E76
credit,E77
currency,E78
declaration,E79
deemed,E80
deeply,E81
defence,E82
defined,E83
defraying,E84
degree,E85
deliberate,E86
deliberation,E87
derive,E88
deserve,E89
designated,E90
desirable,E91
devise,E92
difficulty,E93
digested,E94
direct,E95
directed,E96
discern,E97
disciplined,E98
discriminate,E99
disregard,E100
distant,E101
distinguish,E102
due,E103
duly,E104
duty,E105
effectual,E106
efficient,E107
effort,E108
embrace,E109
eminent,E110
employed,E111
enable,E112
encouragement,E113
encroachment,E114
end,E115
endeavor,E116
engage,E117
enlightened,E118
ensuring,E119
entered,E120
entirely,E121
entitled,E122
entrusted,E123
equal,E124
essential,E125
established,E126
establishment,E127
estimate,E128
exercise,E129
exertion,E130
exigency,E131
expect,E132
expectation,E133
expediency,E134
expedient,E135
expense,E136
explicit,E137
expressive,E138
facilitated,E139
facilitating,E140
favourable,E141
fellow,E142
firmness,E143
first,E144
forbear,E145
foreign,E146
foreigner,E147
free,E148
frontier,E149
fulfill,E150
fund,E151
general,E152
genius,E153
gentleman,E154
giving,E155
good,E156
government,E157
gracious,E158
great,E159
happiness,E160
high,E161
home,E162
honor,E163
hope,E164
hostile,E165
house,E166
immediately,E167
importance,E168
important,E169
impression,E170
incident,E171
increasing,E172
independent,E173
indian,E174
indispensible,E175
inducement,E176
inevitable,E177
information,E178
inhabitant,E179
institution,E180
intercourse,E181
interest,E182
interesting,E183
intimating,E184
introduction,E185
invasion,E186
invention,E187
inviolable,E188
know,E189
knowledge,E190
laid,E191
last,E192
law,E193
lawful,E194
lay,E195
le,E196
learning,E197
legislature,E198
liberty,E199
licentiousness,E200
literature,E201
made,E202
manner,E203
manufactory,E204
manufacture,E205
matter,E206
mature,E207
may,E208
mean,E209
measure,E210
merit,E211
military,E212
nation,E213
national,E214
naturalization,E215
nature,E216
necessary,E217
need,E218
new,E219
north,E220
nothing,E221
novelty,E222
object,E223
obviously,E224
officer,E225
official,E226
one,E227
opinion,E228
opportunity,E229
oppression,E230
others,E231
ought,E232
pacific,E233
paper,E234
part,E235
particular,E236
particularly,E237
patriotism,E238
patronage,E239
peace,E240
peculiar,E241
people,E242
percieve,E243
perfect,E244
permanent,E245
person,E246
persuaded,E247
place,E248
placed,E249
plan,E250
pleasing,E251
pleasure,E252
plenty,E253
post,E254
prepared,E255
present,E256
preserving,E257
proceeding,E258
producing,E259
promote,E260
promoted,E261
promotion,E262
proper,E263
proportionably,E264
prospect,E265
prosperity,E266
protection,E267
provide,E268
providence,E269
providing,E270
provision,E271
public,E272
punish,E273
reach,E274
realize,E275
reason,E276
receive,E277
received,E278
recent,E279
recommendation,E280
recommended,E281
reflection,E282
regard,E283
reliance,E284
relieved,E285
render,E286
representative,E287
require,E288
requisite,E289
resolution,E290
respect,E291
respectability,E292
respecting,E293
respectively,E294
resulting,E295
resuming,E296
right,E297
rising,E298
rule,E299
safety,E300
sanction,E301
satisfaction,E302
satisfactory,E303
saw,E304
science,E305
secure,E306
security,E307
seminary,E308
senate,E309
sense,E310
