Corpus 1,Corpus 2,value
1790,1790,0.0
1791,1790,0.7247204452690365
1792,1790,0.7666751490389092
1793,1790,0.8057520359468592
1794,1790,0.763637759917094
1795,1790,0.7641596671554444
1796,1790,0.7382376840429808
1797,1790,0.8444055923974796
1798,1790,0.7904271358306412
1799,1790,0.8643423645644038
1800,1790,0.8458268469876703
1801,1790,0.7618897005782749
1802,1790,0.842247230336498
1803,1790,0.792719421917193
1804,1790,0.8139166769406866
1805,1790,0.8103293195496762
1806,1790,0.7701456107361652
1807,1790,0.7954978984600846
1808,1790,0.76966353028743
1809,1790,0.8360956302976331
1810,1790,0.7816620170217221
1811,1790,0.8097647100884441
1812,1790,0.7752218245035514
1813,1790,0.8325799678160036
1814,1790,0.8570915492036139
1815,1790,0.7605277239400946
1816,1790,0.7560583343989277
1817,1790,0.7606277384780699
1818,1790,0.7988709655897678
1819,1790,0.8436357480555542
1820,1790,0.7495830179800651
1821,1790,0.8077372385250431
1822,1790,0.7466405163248405
1823,1790,0.7369421500570041
1824,1790,0.7334189238761859
1825,1790,0.7355339598608327
1826,1790,0.7687914018069383
1827,1790,0.7515967193173165
1828,1790,0.7527664473773527
1829,1790,0.7112364833993993
1830,1790,0.706223641456288
1831,1790,0.7415294902773556
1832,1790,0.7181684732802696
1833,1790,0.7455851680673391
1834,1790,0.7367279726790521
1835,1790,0.7500877611416569
1836,1790,0.7406842829733417
1837,1790,0.7277723737124573
1838,1790,0.7255831489734774
1839,1790,0.742208863055326
1840,1790,0.7293495889326331
1841,1790,0.7330615974998265
1842,1790,0.7456899258254224
1843,1790,0.7381047398906975
1844,1790,0.7430847105110064
1845,1790,0.7551558751017706
1846,1790,0.8451544230910379
1847,1790,0.7878062409524536
1848,1790,0.7404891764083935
1849,1790,0.7484127185902116
1850,1790,0.7232134730933928
1851,1790,0.732168356810961
1852,1790,0.7268210612122454
1853,1790,0.7238668624930028
1854,1790,0.7314160541127979
1855,1790,0.766223339187979
1856,1790,0.7545385195554779
1857,1790,0.7523309393271517
1858,1790,0.7369358000419588
1859,1790,0.7645380092132067
1860,1790,0.7616635188690576
1861,1790,0.7566454915535143
1862,1790,0.761868557812888
1863,1790,0.7611005132939136
1864,1790,0.7475823825934214
1865,1790,0.7585320796739339
1866,1790,0.752634125179239
1867,1790,0.7267228521257463
1868,1790,0.7590543477571252
1869,1790,0.7397687754285831
1870,1790,0.7550053971851693
1871,1790,0.7493252466960284
1872,1790,0.8424281966180194
1873,1790,0.7590132643979409
1874,1790,0.7453312629512107
1875,1790,0.7444564103551087
1876,1790,0.7733408778801892
1877,1790,0.7545297039018266
1878,1790,0.7515417642356084
1879,1790,0.7530650899966795
1880,1790,0.7427771173191149
1881,1790,0.787148417530872
1882,1790,0.8012090346556824
1883,1790,0.8294741081747531
1884,1790,0.7375964403143023
1885,1790,0.7305631153400723
1886,1790,0.734039996946808
1887,1790,0.8768093699626883
1888,1790,0.7457466812111481
1889,1790,0.737850515203312
1890,1790,0.7460067254779364
1891,1790,0.7485670716391614
1892,1790,0.7852498758795577
1893,1790,0.7588047157985002
1894,1790,0.7589466082477881
1895,1790,0.81468739042518
1896,1790,0.7421304328337605
1897,1790,0.7528707524985592
1898,1790,0.7342195725802624
1899,1790,0.738372630509105
1900,1790,0.7466894069744209
1901,1790,0.7374095786858414
1902,1790,0.7491325437595926
1903,1790,0.7599218766732768
1904,1790,0.729897576523249
1905,1790,0.7384613603280334
1906,1790,0.7318758926620512
1907,1790,0.7355588007131445
1908,1790,0.7427243090435363
1909,1790,0.7571757029510774
1910,1790,0.8082864235865735
1911,1790,0.7519519489934996
1912,1790,0.735833143869939
1913,1790,0.7848773594947969
1914,1790,0.7895885452908352
1915,1790,0.796889907963624
1916,1790,0.8753727329499829
1917,1790,0.8572088983513378
1918,1790,0.8105091969739883
1919,1790,0.798389998388073
1920,1790,0.8671863904956999
1921,1790,0.7783263443105957
1922,1790,0.7901950332481401
1923,1790,0.7673762797494189
1924,1790,0.7709974350564318
1925,1790,0.7512851619621038
1926,1790,0.7477798993369389
1927,1790,0.7596976337208828
1928,1790,0.7556006225657304
1929,1790,0.7690119784662571
1930,1790,0.8532775304504546
1931,1790,0.8433664355266749
1932,1790,0.8434246838464245
1934,1790,0.834989228004736
1935,1790,0.8574020392044849
1936,1790,0.8445685837763309
1937,1790,0.8888657582428334
1938,1790,0.8406085937613579
1939,1790,0.8447463864660374
1940,1790,0.8787881501322596
1941,1790,0.8503417195958705
1942,1790,0.9195985368544192
1943,1790,0.8875403078820324
1944,1790,0.8845617545106773
1945,1790,0.8254786570931842
1946,1790,0.8618971617236489
1947,1790,0.8119017051133087
1948,1790,0.8293549896130415
1949,1790,0.8259961858019673
1950,1790,0.8222588083608441
1951,1790,0.9203435356630247
1952,1790,0.8461648653864625
1953,1790,0.868418648017717
1954,1790,0.8071312649394049
1955,1790,0.8116805810211029
1956,1790,0.7935316826573793
1957,1790,0.8010388785853357
1958,1790,0.8533401762329275
1959,1790,0.8027622687302197
1960,1790,0.7931254875545781
1961,1790,0.8309489479796203
1962,1790,0.7918276880222922
1963,1790,0.8179779599959321
1964,1790,0.8591978898301
1965,1790,0.8436667227583825
1966,1790,0.8523077898426796
1967,1790,0.8151873057953944
1968,1790,0.8660148559056426
1969,1790,0.9011841882590845
1970,1790,0.8794775060145695
1971,1790,0.9404253132980592
1972,1790,0.871147042095114
1973,1790,0.9737928872197638
1974,1790,0.9121616746103983
1975,1790,0.927704374380198
1976,1790,0.8624091360598176
1977,1790,0.80815809148662
1978,1790,0.8415621312365704
1979,1790,0.9210104057518741
1980,1790,0.9634429079026495
1981,1790,0.7909063307567737
1982,1790,0.877731535769401
1983,1790,0.8287166148079481
1984,1790,0.8331276104321167
1985,1790,0.8398866755917406
1986,1790,0.8798790857409285
1987,1790,0.8575574259007157
1988,1790,0.8822357846152515
1989,1790,0.8617473507315003
1990,1790,0.906527579722014
1991,1790,0.8750155583784675
1992,1790,0.8836429940012717
1993,1790,0.8920888818895377
1994,1790,0.8828806380179968
1995,1790,0.8481625094714955
1996,1790,0.931574823244519
1997,1790,0.873764813229312
1998,1790,0.8493640805945857
1999,1790,0.8627991436749635
2000,1790,0.8838743143800197
2001,1790,0.9110721147688776
2002,1790,0.8858556929996372
2003,1790,0.8651731946544848
2004,1790,0.8682022463257788
2005,1790,0.8671732376652526
2006,1790,0.8367962978553871
2007,1790,0.8475490676805784
2008,1790,0.8582647459507541
2009,1790,0.8709332458622634
2010,1790,0.851424120488613
2011,1790,0.8401022732710295
2012,1790,0.8714024324751415
2013,1790,0.854384788172697
2014,1790,0.8621641124620796
2015,1790,0.8688749713873506
2016,1790,0.8516296929352202
2017,1790,0.8517511792399274
2018,1790,0.8604944642856831
